evidence_group,experiment,region,target,lead_months,model,calibration,reference,n_months,bss,ci_low,ci_high,status,signal_flag,interpretation,source_file,paper_priority
central_valley_calibrated_checkpoint,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,XGB,isotonic,monthly climatology,63,-0.06395,-0.2165,0.0492,not_distinguishable_from_climatology,,Validation-selected post-hoc calibration; this is the primary Central Valley probability-skill checkpoint.,outputs/calib_study_results.csv,False
central_valley_calibrated_checkpoint,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,XGB-Spatial,isotonic,monthly climatology,63,0.00525,-0.0622,0.0733,positive_uncertain,,Validation-selected post-hoc calibration; this is the primary Central Valley probability-skill checkpoint.,outputs/calib_study_results.csv,True
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGB-Spatial + gridded temperature/VPD selected,selected,monthly climatology,63,-0.0467757770344745,-0.130775058887537,0.0234284496893849,not_distinguishable_from_climatology,,ERA5-Land gridded t2m/VPD anomaly lags interpolated to CHIRPS grid.,outputs/met_spatial_xgb_monthly_scores.csv,True
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + MJO/IVT selected,selected,monthly climatology,39,-0.3330804628456481,-1.0437006432445564,-0.0826363572154463,robust_negative,,MJO RMM monthly features plus optional ERA5 IVT anomalies; shorter test period.,outputs/atmos_feature_xgb_monthly_scores.csv,True
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + regional temperature/VPD selected,selected,monthly climatology,63,-0.0921714375072515,-0.1772762021284822,-0.033420306078631,robust_negative,,ERA5-Land regional t2m/VPD anomaly lags.,outputs/met_feature_xgb_monthly_scores.csv,True
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + soil moisture selected,selected,monthly climatology,63,-0.1580114402572607,-0.3845280871285667,-0.0489345539331595,robust_negative,,ERA5-Land soil-water/root-zone anomaly lags.,outputs/soil_moisture_xgb_monthly_scores.csv,True
central_valley_model_suite_raw,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,Climatological baseline,raw_or_model_default,monthly climatology,63,0.0,,,reference,,Monthly-level score; pixel metrics are secondary.,outputs/forecast_skill_bss_hss_table.csv,False
central_valley_model_suite_raw,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,ConvLSTM,raw_or_model_default,monthly climatology,63,-0.3565,-1.2722,0.0264,not_distinguishable_from_climatology,,Monthly-level score; pixel metrics are secondary.,outputs/forecast_skill_bss_hss_table.csv,False
central_valley_model_suite_raw,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,Random Forest,raw_or_model_default,monthly climatology,63,-0.0679,-0.4051,0.0972,not_distinguishable_from_climatology,,Monthly-level score; pixel metrics are secondary.,outputs/forecast_skill_bss_hss_table.csv,False
central_valley_model_suite_raw,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,XGBoost-Spatial,raw_or_model_default,monthly climatology,63,-0.1154,-0.7693,0.2234,not_distinguishable_from_climatology,,Monthly-level score; pixel metrics are secondary.,outputs/forecast_skill_bss_hss_table.csv,False
central_valley_seasonal_target,seasonal_spi3_lead3,California Central Valley,SPI-3 dry fraction,3,Seasonal SPI-3 lead-3 xgb_isotonic,xgb_isotonic,monthly climatology,59,0.0360428831473834,-0.1269644695434182,0.1395751917856527,positive_uncertain,,Leakage-safe seasonal target with lead >= SPI accumulation window.,outputs/seasonal_spi3_lead3_monthly_scores.csv,True
central_valley_seasonal_target,seasonal_spi3_lead6,California Central Valley,SPI-3 dry fraction,6,Seasonal SPI-3 lead-6 xgb_isotonic,xgb_isotonic,monthly climatology,62,-0.1078241520304834,-0.3321384930026321,0.0576284629311184,not_distinguishable_from_climatology,,Leakage-safe seasonal target with lead >= SPI accumulation window.,outputs/seasonal_spi3_lead6_monthly_scores.csv,False
central_valley_seasonal_target,seasonal_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Seasonal SPI-6 lead-6 xgb_isotonic,xgb_isotonic,monthly climatology,62,-0.1100881320172235,-0.3495045855132963,0.0311578393369266,not_distinguishable_from_climatology,,Leakage-safe seasonal target with lead >= SPI accumulation window.,outputs/seasonal_spi6_lead6_monthly_scores.csv,True
central_valley_uncertainty,canonical_spi1_lead1_edl,California Central Valley,SPI-1 dry fraction,1,EDL MLP selected,selected,monthly climatology,63,-0.1162250161444269,-0.2073735559079597,-0.0592014335190758,robust_negative,,"Dirichlet EDL uncertainty; selected monthly uncertainty Spearman corr(abs error): total=0.028, epistemic=0.117.",outputs/edl_uncertainty_monthly.csv,True
feature_ablation,canonical_spi1_lead1_xgb_raw,California Central Valley,SPI-1 dry fraction,1,XGBoost ablation: all_features,raw,monthly climatology,63,-0.2715460787970962,,,negative_no_ci,,Ablated features: ,outputs/feature_ablation_results.csv,False
feature_ablation,canonical_spi1_lead1_xgb_raw,California Central Valley,SPI-1 dry fraction,1,XGBoost ablation: enso,raw,monthly climatology,63,-0.14477,,,negative_no_ci,,"Ablated features: nino34_lag1, nino34_lag2",outputs/feature_ablation_results.csv,False
feature_ablation,canonical_spi1_lead1_xgb_raw,California Central Valley,SPI-1 dry fraction,1,XGBoost ablation: pr_lags,raw,monthly climatology,63,-0.45518,,,negative_no_ci,,"Ablated features: pr_lag1, pr_lag2, pr_lag3",outputs/feature_ablation_results.csv,False
feature_ablation,canonical_spi1_lead1_xgb_raw,California Central Valley,SPI-1 dry fraction,1,XGBoost ablation: seasonality,raw,monthly climatology,63,-0.46323,,,negative_no_ci,,"Ablated features: month_sin, month_cos",outputs/feature_ablation_results.csv,False
independent_precipitation_validation,prism_spi1_validation,California Central Valley basin,PRISM SPI-1 dry fraction,1,XGB-Spatial probabilities,selected canonical,PRISM monthly climatology,63,-0.0034851222510068,,,negative_no_ci,,CHIRPS-PRISM dry-fraction bias=0.046; xgb_prism_spearman=0.530,results/validation/prism_model_validation_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,spatial XGBoost,isotonic,monthly climatology,63,-0.0264400988001913,-0.12448747003432,0.0470407181338282,not_distinguishable_from_climatology,,Region slug=cvalley; raw BSS=-0.196.,results/multiregion/multiregion_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,California Central Valley (basin-mask sensitivity),SPI-1 dry fraction,1,tabular XGBoost,isotonic,monthly climatology,63,-0.0206463756823946,-0.1285208541488486,0.0423252060601063,not_distinguishable_from_climatology,,Region slug=cvalley_basin_masked; raw BSS=-0.022.,results/multiregion/multiregion_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,Horn of Africa bounding box (country-mask sensitivity),SPI-1 dry fraction,1,spatial XGBoost,isotonic,monthly climatology,63,-0.0311087321935619,-0.3024123316724255,0.3196699796106816,not_distinguishable_from_climatology,,Region slug=horn_of_africa_country_masked; raw BSS=-2.134.,results/multiregion/multiregion_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,Mediterranean Spain bounding box,SPI-1 dry fraction,1,tabular XGBoost,isotonic,monthly climatology,63,0.044027407551768,-0.1510430884140117,0.2409632775351689,positive_uncertain,,Region slug=mediterranean_spain; raw BSS=-0.531.,results/multiregion/multiregion_summary.csv,True
