citation_key,title,year,source_url,local_pdf_or_status,data_target,forecast_design,predictors_or_inputs,validation_and_metrics,comparability_to_this_project,protocol_assessment,claim_use
Bouaziz2021_CHIRPS_SPI12_ELM,"A machine learning model for drought tracking and forecasting using remote precipitation data and a standardized precipitation index from arid regions",2021,https://doi.org/10.1016/j.jaridenv.2021.104478,linked_full_text_only,"CHIRPS precipitation; SPI at multiple timescales; reported forecasting focuses on annual SPI-12","Annual drought/SPI-12 prediction from lagged SPI and precipitation","Lagged SPI and precipitation; Extreme Learning Machine models","Reported R2 around 0.7-0.8 in public abstract/summary; probabilistic BSS and climatology-relative monthly dry-fraction skill not the primary framing","Low direct comparability: CHIRPS and SPI are shared, but SPI-12 annual prediction is smoother and higher-memory than monthly SPI-1 dry-fraction probability","Do not call this leaky from available summary. Treat as a different target/metric design that can succeed where SPI-1 BSS does not.","Use to explain why CHIRPS/SPI papers can report high skill without contradicting our SPI-1 result."
Molosiwa2026_BotswanaRegionalization,"Spatiotemporal characterization of drought in Botswana: a regionalization study using long-term CHIRPS satellite data",2026,https://doi.org/10.1007/s00704-026-06154-6,literature/papers/molosiwa_etal_2026_botswana_chirps_regionalization.pdf,"CHIRPS; long-term SPI drought characterization and regionalization","Monitoring/regionalization, not a forecast benchmark","SPI regionalization, run-theory drought metrics, teleconnection diagnostics","Mechanism and regionalization diagnostics; not evaluated as lead-time probabilistic BSS against climatology","Partial comparability for mechanism analysis only; not comparable as a forecast-skill claim","No leakage critique needed because it is not presented as our type of forecast model.","Use as source for CHIRPS SPI regionalization methods and mechanism framing."
ElbeltagiPande2023_SPI_RF_RT_GPR,"Prediction of meteorological drought and standardized precipitation index based on RF, RT, and GPR models",2023,https://doi.org/10.1007/s11356-023-25221-3,linked_full_text_only,"Station or basin meteorological drought; SPI prediction","SPI regression/prediction with ML models","Random Forest, Random Tree, Gaussian Process Regression and meteorological/SPI predictors","Standard regression metrics in public bibliographic records; climatology-relative probabilistic BSS not the central framing","Low to partial comparability: meteorological SPI is shared, but target construction, lead design, and deterministic metrics differ from monthly dry-fraction BSS","Do not infer leakage without full protocol audit. Classify as not directly comparable to our strict probabilistic benchmark.","Use as example of common deterministic SPI-prediction literature that requires careful task comparison."
Ladouali2024_VMD_ELM_SPI,"Short lead time standard precipitation index forecasting: Extreme learning machine and variational mode decomposition",2024,https://doi.org/10.1016/j.ejrh.2024.101861,linked_full_text_only,"SPI time-series forecasting","Short-lead SPI forecasting with decomposition plus ELM","Variational mode decomposition, ELM, SPI input combinations","Deterministic prediction metrics; public summary emphasizes improved SPI forecasting accuracy","Partial comparability: short-lead SPI forecasting is related, but decomposition of the target series and deterministic metrics differ from leakage-safe probability forecasting","Potential target-decomposition methods need careful lead audit before comparison; do not claim invalidity from abstract alone.","Use as a contrast showing that signal-processing plus SPI-memory targets are a different forecast family."
Carrao2018_ECMWFS4SPI,"Seasonal Drought Forecasting for Latin America Using the ECMWF S4 Forecast System",2018,https://www.mdpi.com/2225-1154/6/2/48,linked_full_text_only,"Seasonal precipitation forecasts transformed to SPI; Latin America","Operational seasonal SPI forecasts from ECMWF S4","Dynamical model precipitation forecasts, not lagged observations only","Skill evaluated relative to climatological benchmarks; regional, season, lead, and SPI-scale dependence emphasized","Partial comparability: strong benchmark for seasonal SPI verification, but uses dynamical forecast inputs and broader seasonal targets","This meets the spirit of forecast-informed verification better than lag-only ML; it should not be grouped with CHIRPS-lag studies.","Use to justify climatology-relative seasonal SPI verification and conditional skill framing."
Becker2016_NMMEProbabilistic,"Probabilistic Seasonal Forecasts in the North American Multimodel Ensemble: A Baseline Skill Assessment",2016,https://repository.library.noaa.gov/view/noaa/15240,literature/papers/becker_vandendool_2016_nmme_probabilistic_bss.pdf,"NMME seasonal probabilistic tercile forecasts","Seasonal dynamical probabilistic forecast verification","NMME ensemble forecast probabilities","Brier skill score, reliability, resolution, and cross-validated climatology baseline","High comparability for verification philosophy, low comparability for CHIRPS SPI-1 target","Good standard for probabilistic verification; supports our BSS/reliability framing.","Use as the core source for BSS/reliability/resolution benchmarking."
Su2023_SubXDroughtWUS,"Evaluation of Subseasonal Drought Forecast Skill over the Coastal Western United States",2023,https://repository.library.noaa.gov/view/noaa/60574,literature/papers/su_etal_2023_subx_drought_wus.pdf,"SubX-driven drought onset and termination over coastal western U.S.","Subseasonal event forecasts at weekly leads","SubX model forcing and land-surface drought-event definitions","Probabilistic drought onset/termination skill; public/local notes indicate useful skill mainly weeks 1-2, limited by week 3, and weak by week 4 for many cases","High conceptual comparability for lead-time limits and event targets; target/input system differs from our monthly CHIRPS SPI-1","Strong support for cautious 1-month predictability framing; not evidence that CHIRPS itself is flawed.","Use to support month-ahead difficulty and onset/termination diagnostics."
Lesinger2024_SubXFlashDrought,"Subseasonal Forecast Skill of Evaporative Demand, Soil Moisture, and Flash Drought Onset from Two Dynamic Models over CONUS",2024,https://repository.library.noaa.gov/view/noaa/69336,literature/papers/lesinger_etal_2024_subx_flash_drought.pdf,"SubX ETo, RZSM, flash-drought indices over CONUS","Subseasonal dynamic-model forecast evaluation","GEOS-V2p1 and GEFSv12 SubX forecasts; land-surface variables","Skill declines by lead and varies by target; evaluates against multiple reference datasets","High conceptual comparability for land-surface forecast benchmarks, but not for CHIRPS-only SPI-1","Supports dynamic-model and land-surface benchmark direction; no leakage critique.","Use to justify why root-zone soil moisture and dynamic forecasts are the next positive-skill path."
LesingerTian2025_RISEUNet,"Skillful subseasonal soil moisture drought forecasts with deep learning-dynamic models",2025,https://doi.org/10.1038/s41467-025-62761-3,literature/papers/lesinger_tian_2025_rise_unet_subseasonal_soil_moisture.pdf,"Root-zone soil moisture drought forecast target","Subseasonal DL plus dynamic-model forecast hybrid","Antecedent RZSM and dynamic-model forecasts; RISE-UNet","Reports skillful RZSM forecasts at subseasonal leads; benchmarked as a modern forecast-informed land-surface task","Low direct comparability to CHIRPS SPI-1; high relevance for future extension","Shows positive results usually require a target/input pivot, not just a larger network on CHIRPS lags.","Use to support the land-surface target-reframing hypothesis."
Hwang2019_SubseasonalML,"Improving Subseasonal Forecasting in the Western U.S. with Machine Learning",2019,https://arxiv.org/abs/1809.07394,literature/papers/hwang_etal_2019_subseasonal_forecasting_western_us_ml.pdf,"Western U.S. subseasonal temperature and precipitation","Forecast Rodeo style 2-6 week forecast competition","Meteorological observations, climate indices, dynamical model forecasts, geography, and benchmark features","Skill relative to contest/benchmark systems for temperature and precipitation","Partial comparability for western U.S. precipitation lead-time problem; not a drought-index dry-fraction BSS task","Successful ML here is forecast-informed and benchmark-heavy; not evidence that CHIRPS-only SPI-1 should be skillful.","Use to justify adding operational forecast predictors only if pursuing positive skill."
