evidence_group,experiment,region,target,lead_months,model,calibration,reference,n_months,bss,ci_low,ci_high,status,signal_flag,interpretation,source_file,paper_priority
central_valley_calibrated_checkpoint,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,XGB-Spatial,isotonic,monthly climatology,63,0.00525,-0.0622,0.0733,positive_uncertain,,Validation-selected post-hoc calibration; this is the primary Central Valley probability-skill checkpoint.,outputs/calib_study_results.csv,True
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGB-Spatial + gridded temperature/VPD selected,selected,monthly climatology,63,-0.0467757770344745,-0.130775058887537,0.0234284496893849,not_distinguishable_from_climatology,,ERA5-Land gridded t2m/VPD anomaly lags interpolated to CHIRPS grid.,outputs/met_spatial_xgb_monthly_scores.csv,True
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + regional temperature/VPD selected,selected,monthly climatology,63,-0.0921714375072515,-0.1772762021284822,-0.033420306078631,robust_negative,,ERA5-Land regional t2m/VPD anomaly lags.,outputs/met_feature_xgb_monthly_scores.csv,True
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + soil moisture selected,selected,monthly climatology,63,-0.1580114402572607,-0.3845280871285667,-0.0489345539331595,robust_negative,,ERA5-Land soil-water/root-zone anomaly lags.,outputs/soil_moisture_xgb_monthly_scores.csv,True
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + MJO/IVT selected,selected,monthly climatology,39,-0.3330804628456481,-1.0437006432445564,-0.0826363572154463,robust_negative,,MJO RMM monthly features plus optional ERA5 IVT anomalies; shorter test period.,outputs/atmos_feature_xgb_monthly_scores.csv,True
central_valley_uncertainty,canonical_spi1_lead1_edl,California Central Valley,SPI-1 dry fraction,1,EDL MLP selected,selected,monthly climatology,63,-0.1162250161444269,-0.2073735559079597,-0.0592014335190758,robust_negative,,"Dirichlet EDL uncertainty; selected monthly uncertainty Spearman corr(abs error): total=0.028, epistemic=0.117.",outputs/edl_uncertainty_monthly.csv,True
independent_precipitation_validation,prism_spi1_validation,California Central Valley basin,PRISM SPI-1 dry fraction,1,XGB-Spatial probabilities,selected canonical,PRISM monthly climatology,63,-0.0034851222510068,,,negative_no_ci,,CHIRPS-PRISM dry-fraction bias=0.046; xgb_prism_spearman=0.530,results/validation/prism_model_validation_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,Mediterranean Spain bounding box,SPI-1 dry fraction,1,tabular XGBoost,isotonic,monthly climatology,63,0.044027407551768,-0.1510430884140117,0.2409632775351689,positive_uncertain,,Region slug=mediterranean_spain; raw BSS=-0.531.,results/multiregion/multiregion_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,Mediterranean Spain bounding box (country-mask sensitivity),SPI-1 dry fraction,1,spatial XGBoost,isotonic,monthly climatology,63,0.0235012424817813,-0.1991037434426051,0.304857908720377,positive_uncertain,,Region slug=mediterranean_spain_country_masked; raw BSS=-0.606.,results/multiregion/multiregion_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,Southern Great Plains (basin-mask sensitivity),SPI-1 dry fraction,1,spatial XGBoost,isotonic,monthly climatology,63,0.0101266802841194,-0.0977650760252542,0.1502212327158114,positive_uncertain,,Region slug=southern_great_plains_basin_masked; raw BSS=-0.159.,results/multiregion/multiregion_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,California Central Valley (basin-mask sensitivity),SPI-1 dry fraction,1,tabular XGBoost,isotonic,monthly climatology,63,-0.0206463756823946,-0.1285208541488486,0.0423252060601063,not_distinguishable_from_climatology,,Region slug=cvalley_basin_masked; raw BSS=-0.022.,results/multiregion/multiregion_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,spatial XGBoost,isotonic,monthly climatology,63,-0.0264400988001913,-0.12448747003432,0.0470407181338282,not_distinguishable_from_climatology,,Region slug=cvalley; raw BSS=-0.196.,results/multiregion/multiregion_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,Horn of Africa bounding box (country-mask sensitivity),SPI-1 dry fraction,1,spatial XGBoost,isotonic,monthly climatology,63,-0.0311087321935619,-0.3024123316724255,0.3196699796106816,not_distinguishable_from_climatology,,Region slug=horn_of_africa_country_masked; raw BSS=-2.134.,results/multiregion/multiregion_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,Southern Great Plains,SPI-1 dry fraction,1,spatial XGBoost,isotonic,monthly climatology,63,-0.0820000217488283,-0.1479039892441277,-0.0018953031791721,robust_negative,,Region slug=southern_great_plains; raw BSS=-0.383.,results/multiregion/multiregion_summary.csv,True
